Date,Roaster,Blend Name,Roast Level,Roast Date,Weight (g),Blend Type,Notes,Origin,Variety,Processing,Bean Type,URL
2025-03-07,Attalus,Highgate,Medium,,250.0,Filter,Berry; Brown Sugar; Milk Chocolate,Guatemala; Ethiopia,,Washed,Whole,https://attaluscoffee.com/products/highgate-filter-blend-1
2025-03-19,Insight,El Cimarron,Dark,2025-02-24,340.0,French Press,Cranberry; Milk Chocolate; Caramel,Guatemala,,Washed,Whole,
2025-03-26,Chloe Caphe,96b's liberica project,Medium,,340.0,Espresso; Pour Over,Herbal; Dry Fruit; Black Licorice; low acidity,Huong Hoa; Quang Tri; Vietnam,Liberica,Washed; Sun Dried,Whole,https://chloe-caphe.com/products/pre-order-liberica
2025-04-13,Verve,Sermon,Medium,,340.0,,Blueberry Pie; Cocoa; Candied Pecan,Ethiopia; South America,,Washed,Whole,
2025-04-24,Naysayer,El Socorro,Medium,2025-03-31,227.0,,Mango; Butterscotch; Molasses,Guatemala Palencia,,Washed,Whole,
2025-04-30,Flying M,Signature Blend,Dark,,340.0,Espresso,Nutty; Caramel,,,,Whole,
2025-05-03,Hydrangea,Wanja Kersa,Light,,227.0,,Watermelon; Yellow Peach; Floral,Ethiopia,,Natural,Whole,https://hydrangea.coffee/products/landrace-natural-telia
2025-05-05,Mothership,Supernova,Medium,,340.0,,Dark chocolate; Toffee; Hazelnut,,,,Whole,
2025-05-16,Equator,Tigerwalk Espresso,Medium,,297.0,Espresso,Cherry; Key Lime; Dark Chocolate,,,,Whole,
2025-05-27,Little Wolf,Daniel Mauricio Bolanos,Medium,,226.0,,Sugarcane; Cherry; Candy-like,Columbia,,,Whole,https://coffeedrippd.com/r/little-wolf-coffee/daniel-mauricio-bola-os
2025-06-15,Attalus,Bloom Again,Espresso,2025-06-10,250.0,Espresso,citrus; red berry; dark chocolate,Colombia; Ethiopia,,Washed; Natural,Whole,
2025-07-06,Alpen Sierra,French,Dark,,340.0,Traditional Blend,Smoky; Sweet; Intense,Colombia; Guatemala; Sumatra,Bourbon; Castillo; Caturra; Colombia; Ateng; Jember; Garundang,Washed; Wet-hulled; Sun Dried,Whole,
2025-07-29,Stumptown,Holler Mtn,Medium,2025-05-08,340.0,,Creamy; Caramel; Hazelnut,,,,Whole,https://www.stumptowncoffee.com/products/holler-mountain
2025-07-31,Dorothea,Kayon Mountain Farm,Medium,,340.0,Filter,Apple butter; Nutmeg; Red plum,Ethiopia Guji,,,Whole,https://dorotheacoffee.com/products/kayon-mountain-farm
2025-08-07,Groundwork,Round Midnight,Dark,,283.0,,Toasted Marshmallow; Cocoa,Arabica,,,Whole,https://www.groundworkcoffee.com/products/regenerative-organic-certified-round-midnight
2025-08-14,Highwire,The Core,Light,2025-07-23,340.0,Espresso,Ripe; Big; Caramel,,,,Whole,
2025-08-21,Chromatic,Keynote,Medium,2025-06-30,340.0,,Caramel; Fudge,,,,Whole,
2025-08-28,Naysayer,Finca Milan,Medium,,227.0,,Grape Jelly; Cream Soda; Watermelon,Columbia - Risaralda; Pereira,,,Whole,
2025-09-09,Bluebottle,Espresso,Medium,,340.0,Espresso,Chocolate; Nougat; Brown Sugar,,,,Whole,
2025-09-14,Pachamama,Machu Picchu,Vienna,,283.0,,Rich; Caramel; Chocolate,Santa Teresa; Peru,,,Whole,
2025-09-24,Mae,La Joya,Medium,,284.0,,Marzipan; Milk Chocolate; Berries,Guatemala,,Washed,Whole,
